43,109,5.25
144,55,8.79
178,175,8.66
110,4,3.58
0,121,2.54
111,133,7.32
140,45,7.8
47,57,5.11
14,11,7.55
116,139,5.18
129,80,6.38
123,10,4.84
113,195,1.04
40,187,5.08
44,139,9.44
132,137,0.46
75,90,8.07
79,166,8.11
23,100,0.73
13,134,9.91
174,72,3.1
34,186,7.29
165,29,8.03
113,10,6.79
157,46,6.59
53,82,7.64
63,134,8.41
128,29,9.65
154,124,2.85
91,37,0.83
58,16,9.39
136,40,9.53
0,163,1.7
124,179,4.79
14,131,4.75
176,43,2.45
9,188,8.68
117,63,1.35
7,55,6.02
37,127,6.08
88,6,1.3
79,55,7.47
159,117,3.39
17,52,2.47
72,171,1.09
5,173,7.93
121,94,2.11
190,179,0.95
83,106,3.99
114,145,0.19
7,34,3.0
39,188,8.07
154,13,3.82
183,139,4.21
83,50,8.25
142,47,3.75
106,147,6.26
112,100,2.88
65,165,6.1
150,38,5.45
60,118,3.33
111,92,1.03
18,166,0.58
88,96,4.7
147,102,0.5
95,117,3.52
9,179,4.9
161,183,2.47
33,131,1.63
1,70,5.42
81,70,9.62
98,122,3.01
153,54,8.84
25,151,9.8
188,119,9.28
78,3,7.65
198,87,7.38
17,195,1.1
60,22,3.59
54,153,2.86
73,71,7.79
59,120,4.67
5,149,1.8
135,189,9.44
85,150,0.28
171,48,5.38
176,155,1.38
10,64,2.03
30,93,8.7
41,98,0.89
153,49,4.75
137,107,0.6
21,148,3.92
130,112,7.55
17,40,9.98
56,165,8.37
164,189,9.11
80,82,9.47
11,72,4.34
0,119,2.79
71,126,1.77
180,33,3.69
137,25,1.6
149,50,8.83
112,178,9.79
50,28,7.09
191,44,6.92
144,166,6.43
170,183,1.63
91,37,2.91
46,122,5.27
13,76,6.25
14,40,2.73
51,68,7.47
26,76,2.24
29,99,0.63
191,116,3.34
157,153,0.08
196,80,8.07
92,142,8.83
184,91,4.87
193,157,1.65
119,169,8.87
11,76,8.46
172,167,4.82
68,25,9.96
166,102,0.89
126,22,7.3
52,120,2.66
103,181,2.24
107,41,6.6
118,99,2.27
108,38,1.41
61,1,7.81
192,105,3.77
87,118,4.79
30,18,2.48
0,54,6.63
41,127,0.95
66,189,4.32
60,52,3.55
116,60,1.42
159,163,5.83
170,179,4.34
145,158,1.86
82,28,4.13
53,119,4.75
138,174,7.52
191,190,7.84
13,47,9.59
14,98,4.77
21,56,9.25
89,14,6.48
47,45,2.0
172,182,1.79
196,74,1.47
194,31,6.26
196,166,2.08
9,65,0.89
194,3,0.92
155,192,8.06
125,91,5.57
1,174,7.53
66,164,8.56
72,91,8.91
197,133,5.97
165,109,0.73
159,110,9.56
34,191,8.02
174,107,7.12
9,198,1.89
146,161,5.39
45,142,4.89
107,151,3.48
150,193,5.3
190,150,2.52
115,24,1.97
63,177,8.85
79,167,9.11
150,109,4.29
110,69,6.65
76,146,6.26
38,81,7.79
188,7,5.3
145,173,0.05
108,57,4.77
119,55,9.69
123,20,0.1
190,11,2.52
34,104,1.06
51,153,5.96
165,197,0.32
128,164,8.05
185,7,6.42
182,25,9.35
21,130,7.15
17,180,2.71
67,38,1.94
49,118,4.02
125,43,8.3
53,105,4.35
114,62,7.72
95,41,0.13
184,146,1.32
76,124,3.48
1,103,3.82
11,3,9.12
88,127,7.4
195,158,7.74
107,83,3.62
55,51,8.53
80,169,2.49
59,24,4.76
33,185,2.56
37,156,7.37
42,115,5.04
103,177,0.98
143,10,7.75
121,100,5.7
65,51,2.0
193,59,6.0
143,142,6.46
68,69,4.53
143,131,7.42
108,117,5.24
108,118,4.03
89,71,4.75
182,36,0.42
42,33,5.38
31,115,4.17
179,3,6.11
146,85,1.7
70,119,0.32
52,85,7.17
148,9,0.04
181,127,0.47
2,15,7.32
93,108,4.08
151,97,2.2
185,123,5.92
146,114,5.74
29,25,7.2
77,68,3.68
9,33,0.13
46,120,3.36
77,108,0.17
59,131,1.76
30,146,1.58
91,146,7.57
185,23,2.86
129,134,3.96
141,14,1.0
146,176,1.31
123,193,9.29
35,158,1.53
183,110,3.95
190,179,6.19
37,162,8.98
139,91,0.93
166,26,6.76
49,179,7.69
75,189,4.81
108,45,4.51
78,59,5.07
110,17,9.74
61,112,2.8
32,93,4.03
120,89,6.92
191,174,8.62
48,45,1.9
57,4,3.01
96,180,4.38
95,89,8.54
45,3,4.25
3,34,6.8
136,38,0.71
9,124,3.85
48,156,9.02
151,151,1.23
41,127,2.16
30,174,5.16
129,64,5.12
192,85,3.65
56,6,6.2
170,17,9.29
53,88,1.07
97,67,2.45
37,54,0.55
86,181,5.48
93,107,2.25
196,114,3.67
148,45,9.55
78,58,2.71
100,3,8.83
171,195,5.81
120,125,7.36
44,64,5.46
37,0,9.61
50,78,6.59
130,63,9.55
146,82,7.88
26,18,9.96
170,35,7.61
78,98,7.52
51,101,8.74
109,114,4.34
62,12,5.73
165,55,2.29
17,29,1.93
25,161,6.33
81,64,2.19
11,7,7.22
151,0,0.11
16,38,1.77
181,112,3.08
49,115,1.03
80,15,1.11
46,43,2.91
133,117,7.43
138,194,5.8
157,171,9.77
156,88,4.29
83,191,1.38
65,21,6.29
122,37,9.81
77,6,3.03
113,142,9.74
161,29,0.26
120,172,3.39
11,108,9.32
10,115,8.36
11,114,1.12
27,2,7.96
97,100,5.08
153,55,3.7
170,28,7.55
77,38,3.05
114,190,1.06
97,10,7.98
9,141,6.57
64,106,1.68
72,122,5.75
10,37,1.23
50,61,9.47
127,118,3.92
93,169,1.29
65,72,3.76
88,4,2.33
12,89,2.32
85,68,4.59
136,59,5.29
62,50,5.32
75,30,1.83
16,146,4.08
64,111,9.19
101,9,7.64
44,172,8.77
179,37,5.1
149,69,3.25
16,176,7.26
84,164,6.62
127,141,9.47
105,77,0.23
42,129,7.29
123,86,8.12
120,66,7.23
167,48,4.75
101,115,3.26
110,27,6.35
38,46,1.05
161,61,4.8
76,23,7.91
118,28,9.6
142,7,6.33
106,119,9.16
9,79,2.93
174,32,7.27
49,48,2.52
19,76,4.44
167,105,9.37
192,160,6.91
18,192,3.57
121,198,7.61
56,31,0.84
199,38,4.65
172,128,8.19
108,12,2.99
190,25,6.46
5,80,3.82
144,177,2.75
96,81,4.55
189,80,2.67
189,89,9.44
154,82,2.44
119,131,7.33
127,4,5.72
122,151,8.07
100,37,8.64
28,21,3.98
118,78,9.05
