row,col,value
36,0,0.45289495339239194
26,25,0.29856246857450086
27,26,0.30327516024952816
15,27,0.29982525062838994
14,17,0.806672043998867
34,29,0.4739506078490856
31,23,0.13754866488694506
5,2,0.907149800064522
6,38,0.5616665685256262
11,17,0.5718145246742812
21,36,0.1450555725042999
19,17,0.12801346998294305
38,2,0.3724402282449307
3,7,0.15342041065957457
32,38,0.692993707461687
23,5,0.5399047542602008
36,22,0.49805776385637957
36,4,0.09805193123856515
18,2,0.5056007368490639
37,2,0.2290168705050728
10,26,0.9747070420963948
12,6,0.9398287593376337
12,19,0.1727913169249664
35,20,0.06470539458351243
31,2,0.28294119839833687
19,33,0.13814663084873868
13,20,0.8048131164269239
11,8,0.8652880953505754
8,20,0.5434208155546069
22,37,0.8905716796439676
22,4,0.702419790074795
35,2,0.11136934843016166
4,27,0.9773667382997848
17,5,0.2821466232767488
7,24,0.4242358361951475
26,32,0.04822466250902091
37,17,0.2699860313743875
24,35,0.43981824204323594
2,17,0.8514217044746737
16,33,0.5106310115225239
38,15,0.04920783486546032
28,6,0.48521414610031155
13,17,0.5991391909709243
1,1,0.18030561654745503
38,36,0.27182204748258865
24,12,0.9824372081340575
12,39,0.24521258071697993
1,22,0.32068832947948356
39,9,0.6250154159076575
7,34,0.6331813651137339
8,21,0.8716383755742197
2,29,0.8708443494222494
6,11,0.9192340261010205
12,18,0.9092596045403104
16,7,0.7405150881276842
35,10,0.5166074625136863
25,10,0.23526252815447624
9,17,0.8665003973277247
12,4,0.4386534066318023
33,25,0.29318466327533954
7,32,0.4647653885371493
17,27,0.48529975949495496
38,1,0.2282786221524069
9,19,0.33179864489396405
25,0,0.17988814875715942
39,7,0.24193626643938604
21,3,0.7462309854975345
32,19,0.058924485324470144
21,32,0.6186254680498865
17,39,0.5518674864160886
8,33,0.19218041410602582
25,28,0.7270595919476777
29,30,0.48208673260799095
18,9,0.8861006050367617
4,36,0.6470305466345333
1,26,0.09803106610134105
15,10,0.3525515549653825
16,8,0.9179357334956828
4,0,0.5272005362739425
38,11,0.1481413427356042
2,15,0.6801496952813864
8,30,0.5071156564001983
30,7,0.32824921409134744
34,14,0.35175964849513564
3,31,0.5861448910470962
12,17,0.5673405105208577
25,13,0.2706054928045567
32,7,0.14249257628470746
20,35,0.23631411722635576
15,6,0.977654288429425
