56,85,5.94
163,171,6.54
181,108,0.15
86,141,2.79
104,184,1.54
156,121,9.79
121,1,3.78
18,164,8.56
107,150,5.14
56,74,2.4
186,26,2.69
103,186,4.44
125,119,3.79
106,182,9.93
99,62,8.69
23,191,1.43
31,52,2.34
197,156,6.73
174,95,6.01
30,108,5.89
86,183,1.28
12,22,3.53
103,197,0.19
124,136,7.23
163,94,5.16
160,157,0.9
174,40,1.36
198,125,4.49
16,146,2.72
100,184,7.91
128,152,9.51
22,18,7.45
56,157,2.23
99,25,7.67
29,63,1.53
85,66,0.21
78,71,8.4
151,31,4.03
34,181,2.55
7,99,7.75
68,159,9.2
123,139,6.31
72,2,6.18
141,22,8.49
165,7,4.04
81,150,1.08
10,175,1.39
108,85,8.39
2,159,6.7
68,128,2.99
162,157,5.57
124,95,4.52
48,32,9.24
86,170,8.8
83,3,6.45
32,5,8.68
103,169,5.51
66,68,1.31
96,18,7.55
52,15,4.04
179,125,5.43
154,55,2.55
186,75,4.59
57,14,0.31
126,178,3.63
161,59,8.01
180,159,2.9
186,171,5.49
179,98,8.52
89,160,5.97
186,85,7.93
114,14,4.62
148,109,0.6
188,128,8.96
173,95,4.02
162,159,8.67
131,100,0.97
54,59,6.39
159,173,8.6
102,159,8.89
156,102,3.75
193,176,0.25
140,134,1.86
128,118,4.85
80,117,8.55
119,194,7.99
118,141,4.18
179,190,6.48
90,82,1.58
3,151,9.55
127,161,6.23
40,126,3.25
197,123,6.59
23,34,7.54
2,83,9.12
59,167,5.96
43,91,9.22
165,41,2.59
154,155,4.45
174,105,9.08
198,58,0.88
161,22,7.91
64,34,6.8
187,21,4.25
74,175,0.92
100,170,9.93
16,88,3.25
78,84,7.91
96,5,8.03
18,12,4.29
163,190,7.59
87,85,8.53
179,114,4.67
5,5,8.84
61,125,9.02
147,34,1.55
54,0,0.53
182,158,8.05
112,60,7.57
20,44,2.32
35,6,3.82
106,111,5.41
182,173,1.43
43,65,0.4
157,151,1.27
58,89,3.3
130,79,3.2
164,59,0.31
174,177,0.8
112,76,1.85
14,68,5.3
88,123,7.16
184,70,2.67
0,185,1.22
45,147,6.69
171,177,7.26
111,6,7.97
171,120,4.01
121,134,5.83
144,165,7.06
44,74,5.44
61,42,7.0
62,45,7.34
47,160,5.76
90,42,0.41
23,191,4.07
76,136,2.13
69,43,9.52
91,150,1.79
100,31,4.5
64,159,3.53
75,182,8.04
67,136,5.92
64,132,3.41
19,173,4.08
108,41,6.21
196,143,8.31
155,109,3.63
143,0,0.66
139,13,6.6
47,20,6.98
137,92,0.71
32,129,7.52
177,42,0.61
64,47,3.4
85,8,5.39
8,65,9.87
106,18,8.9
26,50,9.85
120,11,0.22
177,48,2.73
112,35,4.02
62,68,4.2
5,36,9.64
79,0,2.54
21,144,0.88
143,70,5.72
152,132,5.26
58,111,1.29
157,160,2.93
15,113,8.22
73,61,0.55
94,167,5.69
81,20,4.57
10,85,8.92
20,109,1.86
182,161,6.17
44,197,2.96
33,27,4.41
43,86,4.73
67,85,3.11
80,35,4.49
71,122,7.18
9,80,7.64
161,162,0.22
32,22,4.14
111,5,8.89
73,28,7.07
114,3,7.39
7,94,8.11
